ESCENARIO,USUARIOS_TOTALES,STARTER_USUARIOS,PROFESSIONAL_USUARIOS,PREMIUM_USUARIOS,INGRESOS_STARTER,INGRESOS_PROFESSIONAL,INGRESOS_PREMIUM,INGRESOS_TOTALES,COSTOS_VARIABLES_STARTER,COSTOS_VARIABLES_PROFESSIONAL,COSTOS_VARIABLES_PREMIUM,COSTOS_VARIABLES_TOTALES,COSTOS_FIJOS_OPTIMIZADOS,COSTOS_TOTALES_OPTIMIZADOS,BENEFICIO_BRUTO_OPTIMIZADO,BENEFICIO_NETO_OPTIMIZADO,MARGEN_BRUTO_OPTIMIZADO,MARGEN_NETO_OPTIMIZADO
Validación - Mes 1,2,1,1,0,25,45,0,70,0.41,0.45,0,0.86,70,70.86,69.14,-0.86,98.77%,-1.23%
Validación - Mes 2,4,2,2,0,50,90,0,140,0.82,0.90,0,1.72,70,71.72,138.28,68.28,98.77%,48.77%
Validación - Mes 3,6,3,3,0,75,135,0,210,1.23,1.35,0,2.58,70,72.58,207.42,137.42,98.77%,65.44%
Validación - Mes 4,8,4,4,0,100,180,0,280,1.64,1.80,0,3.44,70,73.44,276.56,206.56,98.77%,73.77%
Validación - Mes 5,9,4,4,1,100,180,75,355,1.64,1.80,0.55,3.99,70,73.99,351.01,281.01,98.88%,79.16%
Validación - Mes 6,10,5,3,2,125,135,150,410,2.05,1.35,1.10,4.50,70,74.50,405.50,335.50,98.90%,81.83%
Crecimiento - Mes 7,12,6,4,2,150,180,150,480,2.46,1.80,1.10,5.36,70,75.36,474.64,404.64,98.88%,84.32%
Crecimiento - Mes 8,15,7,5,3,175,225,225,625,2.87,2.25,1.65,6.77,70,76.77,618.23,548.23,98.92%,87.72%
Crecimiento - Mes 9,18,8,6,4,200,270,300,770,3.28,2.70,2.20,8.18,70,78.18,761.82,691.82,98.94%,89.84%
Crecimiento - Mes 10,21,9,7,5,225,315,375,915,3.69,3.15,2.75,9.59,70,79.59,905.41,835.41,98.95%,91.30%
Crecimiento - Mes 11,23,10,7,6,250,315,450,1015,4.10,3.15,3.30,10.55,70,80.55,1004.45,934.45,98.96%,92.07%
Crecimiento - Mes 12,25,12,8,5,300,360,375,1035,4.92,3.60,2.75,11.27,70,81.27,1023.73,953.73,98.91%,92.11%
Escalado - Mes 13,30,15,10,5,375,450,375,1200,6.15,4.50,2.75,13.40,70,83.40,1186.60,1116.60,98.88%,93.05%
Escalado - Mes 14,35,17,12,6,425,540,450,1415,6.97,5.40,3.30,15.67,70,85.67,1399.33,1329.33,98.89%,93.95%
Escalado - Mes 15,40,20,14,6,500,630,450,1580,8.20,6.30,3.30,17.80,70,87.80,1562.20,1492.20,98.87%,94.43%
Escalado - Mes 16,45,22,16,7,550,720,525,1795,9.02,7.20,3.85,20.07,70,90.07,1774.93,1704.93,98.88%,94.98%
Escalado - Mes 17,47,23,17,7,575,765,525,1865,9.43,7.65,3.85,20.93,70,90.93,1844.07,1774.07,98.88%,95.13%
Escalado - Mes 18,50,25,15,10,625,675,750,2050,10.25,6.75,5.50,22.50,70,92.50,2027.50,1957.50,98.90%,95.49%
Escalado - Mes 19,55,27,17,11,675,765,825,2265,11.07,7.65,6.05,24.77,70,94.77,2240.23,2170.23,98.91%,95.81%
Escalado - Mes 20,60,30,18,12,750,810,900,2460,12.30,8.10,6.60,27.00,70,97.00,2433.00,2363.00,98.90%,96.06%
Escalado - Mes 21,65,32,20,13,800,900,975,2675,13.12,9.00,7.15,29.27,70,99.27,2645.73,2575.73,98.91%,96.25%
Escalado - Mes 22,70,35,21,14,875,945,1050,2870,14.35,9.45,7.70,31.50,70,101.50,2838.50,2768.50,98.90%,96.45%
Escalado - Mes 23,75,37,23,15,925,1035,1125,3085,15.17,10.35,8.25,33.77,70,103.77,3051.23,2981.23,98.91%,96.63%
Escalado - Mes 24,80,40,24,16,1000,1080,1200,3280,16.40,10.80,8.80,36.00,70,106.00,3244.00,3174.00,98.90%,96.77%
Escalado - Mes 25,85,42,26,17,1050,1170,1275,3495,17.22,11.70,9.35,38.27,70,108.27,3456.73,3386.73,98.91%,96.91%
Escalado - Mes 26,90,45,27,18,1125,1215,1350,3690,18.45,12.15,9.90,40.50,70,110.50,3649.50,3579.50,98.90%,97.03%
Escalado - Mes 27,95,47,29,19,1175,1305,1425,3905,19.27,13.05,10.45,42.77,70,112.77,3862.23,3792.23,98.91%,97.15%
Escalado - Mes 28,100,50,30,20,1250,1350,1500,4100,20.50,13.50,11.00,45.00,70,115.00,4055.00,3985.00,98.90%,97.20%
Escalado - Mes 29,110,55,33,22,1375,1485,1650,4510,22.55,14.85,12.10,49.50,70,119.50,4460.50,4390.50,98.90%,97.35%
Escalado - Mes 30,120,60,36,24,1500,1620,1800,4920,24.60,16.20,13.20,54.00,70,124.00,4866.00,4796.00,98.90%,97.48%
Escalado - Mes 31,130,65,39,26,1625,1755,1950,5330,26.65,17.55,14.30,58.50,70,128.50,5271.50,5201.50,98.90%,97.60%
Escalado - Mes 32,140,70,42,28,1750,1890,2100,5740,28.70,18.90,15.40,63.00,70,133.00,5677.00,5607.00,98.90%,97.71%
Escalado - Mes 33,150,75,45,30,1875,2025,2250,6150,30.75,20.25,16.50,67.50,70,137.50,6082.50,6012.50,98.90%,97.81%
Escalado - Mes 34,160,80,48,32,2000,2160,2400,6560,32.80,21.60,17.60,72.00,70,142.00,6488.00,6418.00,98.90%,97.90%
Escalado - Mes 35,170,85,51,34,2125,2295,2550,6970,34.85,22.95,18.70,76.50,70,146.50,6893.50,6823.50,98.90%,97.98%
Escalado - Mes 36,180,90,54,36,2250,2430,2700,7380,36.90,24.30,19.80,81.00,70,151.00,7299.00,7229.00,98.90%,98.05%
Escalado - Mes 37,190,95,57,38,2375,2565,2850,7790,38.95,25.65,20.90,85.50,70,155.50,7704.50,7634.50,98.90%,98.11%
Escalado - Mes 38,200,100,60,40,2500,2700,3000,8200,41.00,27.00,22.00,90.00,70,160.00,8110.00,8040.00,98.90%,98.17%
